Feature,Information_Gain
kode,0.0001882094419438352
kodok,0.00022932202116135838
koga,0.00022932202116135838
koh,0.00022932202116135838
kokas,0.00022932202116135838
kolaborasi,0.0016142656666863916
kolaka,0.0001882094419438352
kolaps,0.0005648340275581018
koleksi,0.0002951660771293961
kolektor,8.534794684404365e-05
kolesterol,0.00043914015144671083
kolom,0.0001882094419438352
kolonial,0.00022932202116135838
kolot,0.00033627865634686376
kombinasi,0.0001882094419438352
komentar,0.00032486504749873035
komentator,0.00022932202116135838
komersial,0.0001321903461429636
komisi,0.0006877862847682057
komitmen,0.003967917220795209
komoditas,6.688823393222231e-05
kompak,0.0005648340275581018
kompasiana,0.00022932202116135838
kompatibel,0.0002951660771293961
kompeten,8.534794684404365e-05
kompetesi,0.0001882094419438352
kompetisi,0.0003580277207180099
kompetitif,0.0013561517396305427
kompetitor,0.0006272921818538547
komplain,0.00045873618032261356
komplek,8.534794684404365e-05
kompleks,8.534794684404365e-05
komplit,0.00037648743362983126
komponen,0.00034779465123626306
kompor,0.0003589734053261371
komposisi,0.00014820959043265703
kompresor,0.00045873618032261356
komputer,6.688823393222231e-05
komsumtif,0.00022932202116135838
komunikasi,0.0001882094419438352
komunis,0.0005063930294371777
komunitas,8.534794684404365e-05
komvensional,0.00043914015144671083
kona,0.0007532492762904377
konek,0.00022932202116135838
koneksi,0.00022932202116135838
konektivitas,0.00022932202116135838
konferensi,0.00037648743362983126
konfersi,0.00043914015144671083
konflik,0.0002951660771293961
kongkrit,0.0001882094419438352
konglo,0.00022932202116135838
kongreturn,0.00045873618032261356
konkret,0.0001882094419438352
konoha,0.0006882425571326616
konpensional,8.534794684404365e-05
konsentrasi,0.0005648340275581018
konsep,0.0009243455747034958
konservatif,0.0001882094419438352
konsisten,0.00037648743362983126
konslet,0.000669725405155227
konsorsium,0.00022932202116135838
konspirasi,6.688823393222231e-05
konstruksi,0.0002951660771293961
konstumernya,0.0001882094419438352
konsumen,0.00030985820224738517
konsument,0.0001882094419438352
konsumer,0.0001882094419438352
konsumsi,0.0007151060264177244
konsumtif,0.00041879469565240645
kontak,0.0001882094419438352
konteks,0.0001882094419438352
konten,0.0008720368475176993
kontra,0.00021935147240604918
kontrak,8.534794684404365e-05
kontraproduktif,0.00043914015144671083
kontras,0.00043914015144671083
kontribusi,0.0008256995643257442
kontrol,0.0001882094419438352
kontroler,0.0001882094419438352
kontur,0.0001882094419438352
konunis,0.00043914015144671083
konv,0.00043914015144671083
konve,0.0002735685132320225
konvensi,0.0001882094419438352
konvensional,0.004429517823114407
konversi,0.0006346840249723909
konvoi,0.00043914015144671083
konyol,0.00045873618032261356
koordinator,0.00037648743362983126
koramil,0.00022932202116135838
korban,0.0003737391462937485
kpj,0.0001882094419438352
kpk,0.0009178412313506513
kreasi,0.00043914015144671083
kreatif,0.00029655588899712895
kredit,2.8193779835883727e-05
kriminalisasi,0.0006882425571326616
kriminalitas,0.00022932202116135838
krisis,0.0011312029309930702
krismon,0.00022932202116135838
kriteria,0.00037648743362983126
